192.168.11.248 断开 at 2024-09-24 15:01:03.975452, 恢复 at 2024-09-24 15:01:15.995117, 持续时间: 12秒
192.168.11.248 断开 at 2024-09-24 15:01:41.175781, 恢复 at 2024-09-24 15:02:04.190325, 持续时间: 23秒
192.168.11.248 断开 at 2024-09-24 15:02:17.212737, 恢复 at 2024-09-24 15:02:18.224892, 持续时间: 1秒
192.168.11.248 断开 at 2024-09-24 15:03:28.886006, 恢复 at 2024-09-24 15:04:02.918514, 持续时间: 34秒
192.168.11.248 断开 at 2024-09-24 15:09:20.264267, 恢复 at 2024-09-24 15:09:43.280578, 持续时间: 23秒
192.168.11.248 断开 at 2024-09-24 15:10:06.387586, 恢复 at 2024-09-24 15:10:18.403955, 持续时间: 12秒
192.168.11.248 断开 at 2024-09-24 15:12:00.523256, 恢复 at 2024-09-24 15:12:12.536099, 持续时间: 12秒
192.168.11.248 断开 at 2024-09-24 15:13:59.572541, 恢复 at 2024-09-24 15:14:11.590819, 持续时间: 12秒
192.168.11.248 断开 at 2024-09-24 15:14:37.753261, 恢复 at 2024-09-24 15:14:38.764218, 持续时间: 1秒
192.168.11.248 断开 at 2024-09-24 15:15:16.078823, 恢复 at 2024-09-24 15:15:17.091583, 持续时间: 1秒
192.168.11.248 断开 at 2024-09-24 15:15:54.355876, 恢复 at 2024-09-24 15:16:06.370494, 持续时间: 12秒
192.168.11.248 断开 at 2024-09-24 15:16:22.430104, 恢复 at 2024-09-24 15:16:45.445676, 持续时间: 23秒
192.168.11.242 断开 at 2024-09-24 15:17:13.351281, 恢复 at 2024-09-24 15:17:14.364485, 持续时间: 1秒
192.168.11.248 断开 at 2024-09-24 15:17:02.510775, 恢复 at 2024-09-24 15:17:14.524713, 持续时间: 12秒
192.168.11.244 断开 at 2024-09-24 15:17:13.105209, 恢复 at 2024-09-24 15:19:04.178943, 持续时间: 1分 51秒
192.168.11.248 断开 at 2024-09-24 15:18:59.540241, 恢复 at 2024-09-24 15:19:11.556382, 持续时间: 12秒
192.168.11.248 断开 at 2024-09-24 15:19:37.763475, 恢复 at 2024-09-24 15:19:38.778971, 持续时间: 1秒
192.168.11.248 断开 at 2024-09-24 15:20:17.088736, 恢复 at 2024-09-24 15:20:29.098941, 持续时间: 12秒
192.168.11.248 断开 at 2024-09-24 15:21:34.693099, 恢复 at 2024-09-24 15:21:57.722096, 持续时间: 23秒
192.168.11.248 断开 at 2024-09-24 15:22:54.264407, 恢复 at 2024-09-24 15:22:55.272330, 持续时间: 1秒
192.168.11.248 断开 at 2024-09-24 15:24:00.849474, 恢复 at 2024-09-24 15:24:23.868748, 持续时间: 23秒
192.168.11.248 断开 at 2024-09-24 15:25:20.407650, 恢复 at 2024-09-24 15:25:32.418925, 持续时间: 12秒
192.168.11.248 断开 at 2024-09-24 15:27:17.518453, 恢复 at 2024-09-24 15:27:29.530976, 持续时间: 12秒
192.168.11.248 断开 at 2024-09-24 15:27:57.690666, 恢复 at 2024-09-24 15:28:20.705672, 持续时间: 23秒
192.168.11.248 断开 at 2024-09-24 15:28:35.760210, 恢复 at 2024-09-24 15:28:47.786196, 持续时间: 12秒
192.168.11.248 断开 at 2024-09-24 15:29:17.000386, 恢复 at 2024-09-24 15:29:18.014815, 持续时间: 1秒
192.168.11.248 断开 at 2024-09-24 15:29:59.336847, 恢复 at 2024-09-24 15:30:11.348534, 持续时间: 12秒
192.168.11.244 断开 at 2024-09-24 16:22:33.345817, 恢复 at 2024-09-24 16:23:29.368851, 持续时间: 56秒
192.168.11.244 断开 at 2024-09-24 17:23:18.748672, 恢复 at 2024-09-24 17:23:19.823229, 持续时间: 1秒
192.168.11.244 断开 at 2024-09-24 17:23:33.258934, 恢复 at 2024-09-24 17:23:34.562091, 持续时间: 1秒
192.168.11.242 断开 at 2024-09-24 17:25:10.078879, 恢复 at 2024-09-24 17:25:11.332668, 持续时间: 1秒
192.168.11.244 断开 at 2024-09-24 17:25:10.078738, 恢复 at 2024-09-24 17:25:11.332723, 持续时间: 1秒
192.168.11.248 断开 at 2024-09-24 17:25:15.001038, 恢复 at 2024-09-24 17:25:16.253788, 持续时间: 1秒
192.168.11.249 断开 at 2024-09-24 17:25:15.000974, 恢复 at 2024-09-24 17:25:16.253836, 持续时间: 1秒
172.26.1.141 断开 at 2024-09-24 17:27:59.674453, 恢复 at 2024-09-24 17:28:00.679925, 持续时间: 1秒
172.26.1.193 断开 at 2024-09-24 14:39:09.269801, 恢复 at 2024-09-24 17:54:09.037151, 持续时间: 3小时 14分 59秒
172.26.1.192 断开 at 2024-09-24 14:39:33.438116, 恢复 at 2024-09-24 17:54:44.398056, 持续时间: 3小时 15分 10秒
